country,year,total_deaths,total_affected,total_damages_('000_us$),total_occurences,iso,lat,lng
Afghanistan,420889,26721,34815618,603320,210,AFG,33.93911,67.709953
Albania,76079,290,4384706,803573,38,ALB,41.153332,20.168331
Algeria,175703,8633,2507531,11814846,88,DZA,28.033886,1.659626
American Samoa,11976,130,25563,205000,6,ASM,-14.270972,-170.132217
Angola,148505,5983,8870587,12000,74,AGO,-11.202692,17.873887
Anguilla,9910,9,16400,235050,5,AIA,18.220554,-63.068615
Antigua and Barbuda,25864,13,127314,793600,13,ATG,17.060816,-61.796428
Argentina,246018,1646,15177074,15727410,123,ARG,-38.416097,-63.616672
Armenia,22095,5,420330,203275,11,ARM,40.069099,45.038189
Australia,427937,2177,16360448,73294234,214,AUS,-25.274398,133.775136
Austria,107819,798,72639,6739770,54,AUT,47.516231,14.550072
Azerbaijan,30037,68,2575271,211200,15,AZE,40.143105,47.576927
Azores Islands,9935,108,24115,159300,5,AZO,37.7412488,-25.6755944
Bahamas (the),47968,414,56053,6745100,24,BHS,25.03428,-77.39628
Bahrain,1978,111,0,0,1,BHR,26.0667,50.5577
Bangladesh,682189,634392,471530136,21893565,342,BGD,23.684994,90.356331
Barbados,25942,62,14228,107200,13,BRB,13.193887,-59.543198
Belarus,28063,74,209591,177680,14,BLR,53.709807,27.953389
Belgium,128001,4823,109983,4260132,64,BEL,50.503887,4.469936
Belize,41916,360,396525,632004,21,BLZ,17.189877,-88.49765
Benin,105992,1574,5480650,8966,53,BEN,9.30769,2.315834
Bermuda,9950,4,40,353500,5,BMU,32.3078,-64.7505
Bhutan,24039,314,87871,3500,12,BTN,27.514162,90.433601
Bolivia (Plurinational State of),212169,2392,9781967,3787718,106,BOL,-16.290154,-63.588653
Bosnia and Herzegovina,56269,48,1680966,821580,28,BIH,43.915886,17.679076
Botswana,45941,698,1598781,52050,23,BWA,-22.328474,24.684866
Brazil,515342,13350,117369425,30472381,258,BRA,-14.235004,-51.92528
Brunei Darussalam,1998,0,0,2000,1,BRN,4.535277,114.727669
Bulgaria,98189,206,71563,1420304,49,BGR,42.733883,25.48583
Burkina Faso,125915,17304,16301067,181176,63,BFA,12.238333,-1.561593
Burundi,124431,1218,4743136,15000,62,BDI,-3.373056,29.918886
Cabo Verde,35994,296,230262,4100,18,CPV,16.5388,-23.0418
Cambodia,92274,2530,24163819,1659110,46,KHM,12.565679,104.990963
Cameroon,110119,6122,1082089,5200,55,CMR,7.369722,12.354722
Canada,265682,1845,686614,38138012,133,CAN,56.130366,-106.346771
Canary Is,15996,82,8136,1869923,8,SPI,28.2915637,-16.6291304
Cayman Islands (the),14029,2,300,3496580,7,CYM,19.3133,-81.2546
Central African Republic,92265,1019,314833,125,46,CAF,6.611111,20.939444
Chad,128138,10556,14116673,94157,64,TCD,15.454166,18.732207
Chile,215649,9147,12399624,39927770,108,CHL,-35.675147,-71.542969
China,1882716,2506289,3283546568,613469613,940,CHN,35.86166,104.195397
Colombia,427836,32879,18869782,7334469,214,COL,4.570868,-74.297333
Comoros (the),47953,661,864573,47804,24,COM,-11.6455,43.3333
Congo (the Democratic Republic of the),288799,18102,3592653,31200,144,COD,-4.038333,21.758664
Congo (the),70238,4734,724427,59,35,COG,-0.228021,15.827659
Cook Islands (the),21934,32,9024,25000,11,COK,-21.236736,-159.777671
Costa Rica,145748,548,2276061,1387090,73,CRI,9.748917,-83.753428
Croatia,60258,868,249667,13872150,30,HRV,45.1,15.2
Cuba,163857,2039,24197379,14863697,82,CUB,21.521757,-77.781167
Cyprus,29890,110,8535,61440,15,CYP,35.126413,33.429859
Czech Republic (the),64299,598,1626170,6668012,32,CZE,49.817492,15.472962
Czechoslovakia,17846,24,600,16000,9,CSK,50.0755,14.4378
Côte d’Ivoire,62177,962,105051,0,31,CIV,7.539989,-5.54708
Denmark,33938,27,0,5196639,17,DNK,56.26392,9.501785
Djibouti,53981,344,2459298,5719,27,DJI,11.825138,42.590275
Dominica,27908,140,196383,2223060,14,DMA,15.414999,-61.370976
Dominican Republic (the),166190,3787,7594867,3119635,83,DOM,18.735693,-70.162651
Ecuador,219753,8844,5405328,5819245,110,ECU,-1.831239,-78.183406
Egypt,69897,1827,403851,1557000,35,EGY,26.820553,30.802498
El Salvador,142145,5716,5083854,6974810,71,SLV,13.794185,-88.89653
Equatorial Guinea,2004,15,946,0,1,GNQ,1.650801,10.267895
Eritrea,16014,3,5622688,5165,8,ERI,15.179384,39.782334
Estonia,8040,11,100,130000,4,EST,58.595272,25.013607
Eswatini,36031,709,3274262,55941,18,SWZ,-26.522503,31.465866
Ethiopia,246024,416546,96826962,2152176,123,ETH,9.145,40.489673
Fiji,119799,449,2551435,1367853,60,FJI,-17.713371,178.065032
Finland,5985,0,400,10000,3,FIN,61.92411,25.748151
France,376183,28648,4227785,51975700,188,FRA,46.227638,2.213749
French Guiana,6016,10,70144,0,3,GUF,3.933889,-53.125782
French Polynesia,15934,31,13976,50000,8,PYF,-17.679742,-149.406843
Gabon,26039,117,110883,0,13,GAB,-0.803689,11.609444
Gambia (the),66005,442,1506535,700,33,GMB,13.443182,-15.310139
Georgia,54203,76,906302,700856,27,GEO,32.1656221,-82.9000751
Germany,172465,9918,578301,97889605,86,DEU,51.165691,10.451526
Germany Dem Rep,5953,0,0,0,3,DDR,51.165691,10.451526
Germany Fed Rep,31638,501,3997,3964000,16,DFR,51.165691,10.451526
Ghana,108178,1824,17621601,120300,54,GHA,7.946527,-1.023194
Greece,197616,2562,1313325,13790809,99,GRC,39.074208,21.824312
Grenada,15923,45,61285,904500,8,GRD,12.1165,-61.679
Guadeloupe,31808,53,220241,695000,16,GLP,16.265,-61.551
Guam,19919,18,27979,1121145,10,GUM,13.444304,144.793731
Guatemala,236536,28476,22158467,4839132,118,GTM,15.783471,-90.230759
Guinea,76193,4130,613494,8000,38,GIN,9.945587,-9.696645
Guinea-Bissau,45919,3044,314388,0,23,GNB,11.803749,-15.180413
Guyana,26045,34,1313248,678000,13,GUY,4.860416,-58.93018
Haiti,264155,248699,20133609,13017936,132,HTI,18.971187,-72.285215
Honduras,183936,27299,12082878,5183879,92,HND,15.199999,-86.241905
Hong Kong,204187,1477,147088,1315943,103,HKG,22.3193039,114.1693611
Hungary,68128,1211,406763,1960400,34,HUN,47.162494,19.503304
Iceland,25857,51,5768,70989,13,ISL,64.963051,-19.020835
India,1463564,1733196,2481031102,145303486,733,IND,20.593684,78.96288
Indonesia,1156632,218639,37504402,34681238,578,IDN,-0.789275,113.921327
Iran (Islamic Republic of),476833,146447,60242218,30406696,239,IRN,32.427908,53.688046
Iraq,60102,229,8111089,175300,30,IRQ,33.223191,43.679291
Ireland,50042,48,6275,678050,25,IRL,53.1423672,-7.6920536
Isle of Man,2020,0,0,0,1,IMN,54.236107,-4.548056
Israel,38047,124,2085182,2082750,19,ISR,31.046051,34.851612
Italy,325621,30673,3899563,98331263,163,ITA,41.87194,12.56738
Jamaica,79790,442,2705422,2836122,40,JAM,18.109581,-77.297508
Japan,675583,52828,19551450,540788500,339,JPN,36.204824,138.252924
Jordan,33859,380,355337,403400,17,JOR,30.585164,36.238414
Kazakhstan,50161,237,906058,285570,25,KAZ,48.019573,66.923684
Kenya,242518,7406,71854225,869888,121,KEN,-0.023559,37.906193
Kiribati,11985,20,86857,0,6,KIR,-3.370417,-168.734039
Korea (the Democratic People's Republic of),94332,3017,50960163,23767950,47,PRK,37.6639976,127.9784585
Korea (the Republic of),255347,8040,6993125,18529257,128,KOR,35.907757,127.766922
Kuwait,6017,3,201,0,3,KWT,29.31166,47.481766
Kyrgyzstan,64189,477,2289812,217760,32,KGZ,41.20438,74.766098
Lao People's Democratic Republic (the),112013,1606,11661248,802729,56,LAO,19.85627,102.495496
Latvia,18048,92,102,325500,9,LVA,56.879635,24.603189
Lebanon,27987,645,1135991,165000,14,LBN,33.854721,35.862285
Lesotho,48003,123,4845062,1000,24,LSO,-29.609988,28.233608
Liberia,50028,5568,1599422,47000,25,LBR,6.428055,-9.429499
Libya,7990,320,27405,54300,4,LBY,26.3351,17.228331
Lithuania,28080,104,780000,313573,14,LTU,55.169438,23.881275
Luxembourg,25964,170,1519,421000,13,LUX,49.815273,6.129583
Macao,14008,10,4187,1420000,7,MAC,22.198745,113.543873
Macedonia (the former Yugoslav Republic of),48176,69,1361548,409163,24,MKD,41.608635,21.745275
Madagascar,194380,5402,21164743,2361801,97,MDG,-18.766947,46.869107
Malawi,152357,3245,32437389,450489,76,MWI,-13.254308,34.301525
Malaysia,204468,1544,4171082,3816142,102,MYS,4.210484,101.975766
Maldives,16018,325,68679,506100,8,MDV,3.202778,73.22068
Mali,119973,4082,14064154,0,60,MLI,17.570692,-3.996166
Marshall Islands (the),16081,6,43888,4900,8,MHL,7.131474,171.184478
Martinique,33833,96,60421,693010,17,MTQ,14.641528,-61.024174
Mauritania,91974,287,13093392,61500,46,MRT,21.00789,-10.940835
Mauritius,43794,82,1062145,803373,22,MUS,-20.348404,57.552152
Mexico,579576,22888,20710568,55299415,290,MEX,23.634501,-102.552784
Micronesia (Federated States of),22054,77,186065,17500,11,FSM,7.425554,150.550812
Moldova (the Republic of),32063,89,2908212,800184,16,MDA,47.411631,28.369885
Mongolia,80184,1576,4990247,2001864,40,MNG,46.862496,103.846656
Montenegro,12065,1,12586,0,6,MNE,42.708678,19.37439
Montserrat,13968,43,25240,268000,7,MSR,16.742498,-62.187366
Morocco,121643,14666,3700192,2051159,61,MAR,31.791702,-7.09262
Mozambique,242312,107175,42882243,3384750,121,MOZ,-18.665695,35.529562
Myanmar,152110,141987,9794131,4867413,76,MMR,21.916221,95.955974
Namibia,64187,555,3815727,195490,32,NAM,-22.95764,18.49041
Nepal,265931,25170,17919237,6831555,133,NPL,28.394857,84.124008
Netherlands (the),84011,4823,565325,5784711,42,NLD,52.132633,5.291266
Netherlands Antilles,7898,13,40000,1050000,4,ANT,52.132633,5.291266
New Caledonia,29694,13,3537,43900,15,NCL,-20.904305,165.618042
New Zealand,147833,436,664912,31117035,74,NZL,-40.900557,174.885971
Nicaragua,167911,15314,5922590,3653959,84,NIC,12.865416,-85.207229
Niger (the),192411,11108,39137299,282039,96,NER,17.607789,8.081666
Nigeria,278626,32591,16186217,1093525,139,NGA,9.081999,8.675277
Niue,11880,2,6799,41541,6,NIU,-19.054445,-169.867233
Northern Mariana Islands (the),10042,5,860,0,5,MNP,15.0979,145.6739
Norway,26046,16,7860,693000,13,NOR,60.472024,8.468946
Oman,34133,316,33269,5252000,17,OMN,21.4735329,55.975413
Pakistan,468317,116581,132102815,29937969,234,PAK,30.375321,69.345116
Palau,10079,0,22862,0,5,PLW,7.51498,134.58252
"Palestine, State of",20111,17,130064,0,10,PSE,31.952162,35.233154
Panama,124011,495,411014,397550,62,PAN,8.537981,-80.782127
Papua New Guinea,178048,9916,4812196,353003,89,PNG,-6.314993,143.95555
Paraguay,118224,380,4324790,153557,59,PRY,-23.442503,-58.443832
Peru,399457,89780,23408766,6446250,200,PER,-9.189967,-75.015152
Philippines (the),1312300,68326,251244829,29695925,657,PHL,12.879721,121.774017
Poland,124365,2307,383173,8427050,62,POL,51.919438,19.145136
Portugal,102038,4061,213531,7710736,51,PRT,39.399872,-8.224454
Puerto Rico,67986,833,935799,72657800,34,PRI,18.220833,-66.590149
Qatar,2018,0,1500,10000,1,QAT,25.354826,51.183884
Romania,182286,2953,2057777,6189918,91,ROU,45.943161,24.96676
Russian Federation (the),348643,61640,4830565,11646996,174,RUS,61.52401,105.318756
Rwanda,108324,1226,6272490,72009,54,RWA,-1.940278,29.873888
Réunion,27958,74,179529,254000,14,REU,-21.115141,55.536384
Saint Barthélemy,2017,4,0,0,1,BLM,17.9,-62.833333
"Saint Helena, Ascension and Tristan da Cunha",2001,0,300,0,1,SHN,-15.9583317,-5.7019989
Saint Kitts and Nevis,19922,6,14780,704900,10,KNA,17.357822,-62.782998
Saint Lucia,41921,48,313427,173245,21,LCA,13.909444,-60.978893
Saint Martin (French Part),2017,12,110,4100000,1,MAF,18.08255,-63.052251
Saint Vincent and the Grenadines,45929,154,109680,511600,23,VCT,12.984305,-61.287228
Samoa,31917,534,403908,816128,16,WSM,-13.759029,-172.104629
Sao Tome and Principe,9984,214,315080,0,5,STP,0.18636,6.613081
Saudi Arabia,58204,647,34760,1702000,29,SAU,23.885942,45.079162
Senegal,105861,1559,10748568,447235,53,SEN,14.497401,-14.452362
Serbia,54351,96,224502,2308522,27,SRB,44.016521,21.005859
Serbia Montenegro,32021,21,135199,0,16,SCG,44.016521,21.005859
Seychelles,14051,8,26016,41000,7,SYC,-4.679574,55.491977
Sierra Leone,66120,6742,331449,33600,33,SLE,8.460555,-11.779889
Singapore,8016,36,15289,0,4,SGP,1.352083,103.819836
Sint Maarten (Dutch part),2017,4,5040,2500000,1,SXM,18.04248,-63.05483
Slovakia,46169,204,59658,785600,23,SVK,48.669026,19.699024
Slovenia,22105,301,68405,752000,11,SVN,46.151241,14.995463
Solomon Islands,73925,755,596453,50000,37,SLB,-9.64571,160.156194
Somalia,204260,50009,36063128,1175020,102,SOM,5.152149,46.199616
South Africa,238275,2852,34427208,10131070,119,ZAF,-30.559482,22.937506
South Sudan,50361,509,11885673,0,25,SSD,6.8769919,31.3069788
Soviet Union,101208,26611,2443097,20692700,51,SUN,61.52401,105.318756
Spain,207900,17337,6858631,32641297,104,ESP,40.463667,-3.74922
Sri Lanka,244125,40079,32270567,4475364,122,LKA,7.873054,80.771797
Sudan (the),212156,162581,36512542,808200,106,SDN,12.862807,30.217636
Suriname,10026,5,55248,50,5,SUR,3.919305,-56.027783
Sweden,31982,43,13900,3328800,16,SWE,60.128161,18.643501
Switzerland,123840,1408,9923,8199760,62,CHE,46.818188,8.227512
Syrian Arab Republic,36070,235,8262773,44000,18,SYR,34.802075,38.996815
Taiwan (Province of China),223584,6839,3970223,22369012,112,TWN,23.69781,120.960515
Tajikistan,148448,2252,6815710,1814384,74,TJK,38.861034,71.276093
"Tanzania, United Republic of",234166,10476,16873999,467790,117,TZA,-6.369028,34.888822
Thailand,330592,14609,110830159,53193908,165,THA,15.870032,100.992541
Timor-Leste,28147,93,289925,24000,14,TLS,-8.874217,125.727539
Togo,58005,1199,1226845,700,29,TGO,8.619543,0.824782
Tokelau,7948,0,1858,2900,4,TKL,-9.2002,-171.8484
Tonga,48035,28,398688,350900,24,TON,-21.178986,-175.198242
Trinidad and Tobago,23951,34,203187,64770,12,TTO,10.691803,-61.222503
Tunisia,53806,998,663667,476800,27,TUN,33.886917,9.537499
Turkey,339038,36782,9648261,29104670,170,TUR,38.963745,35.243322
Turkmenistan,3993,11,420,99870,2,TKM,38.969719,59.556278
Turks and Caicos Islands (the),14020,4,2470,1000005,7,TCA,21.694025,-71.797928
Tuvalu,17993,6,21867,0,9,TUV,-7.109535,177.64933
Uganda,212643,5590,7491296,80171,106,UGA,1.373333,32.290275
Ukraine,78219,1505,2911081,3835475,39,UKR,48.379433,31.16558
United Arab Emirates (the),2017,0,188,0,1,ARE,23.424076,53.847818
United Kingdom of Great Britain and Northern Ireland (the),206099,8311,768085,37387180,103,GBR,55.378051,-3.435973
United States of America (the),2116588,24921,115636239,1350195280,1059,USA,37.09024,-95.712891
Uruguay,70194,44,293803,867000,35,URY,-32.522779,-55.765835
Uzbekistan,20060,104,722279,50000,10,UZB,41.377491,64.585262
Vanuatu,99806,254,687539,656650,50,VUT,-15.376706,166.959158
Venezuela (Bolivarian Republic of),123909,31327,2613153,3754426,62,VEN,6.42375,-66.58973
Viet Nam,510827,27297,97981924,23416066,255,VNM,14.058324,108.277199
Virgin Island (British),6030,9,3,3002000,3,VGB,18.420695,-64.639968
Virgin Island (U.S.),16014,17,20000,1237800,8,VIR,18.335765,-64.896335
Wallis and Futuna,9922,6,5772,0,5,WLF,-14.2938,-178.1165
Yemen,116569,2371,1845637,1831500,58,YEM,15.552727,48.516388
Yemen Arab Rep,15826,1657,2624362,2022700,8,YMN,15.552727,48.516388
Yemen P Dem Rep,13857,507,705000,1040200,7,YMD,15.552727,48.516388
Yugoslavia,41537,1394,991330,3939800,21,YUG,42.7833302,19.4666648
Zambia,104156,1423,13153950,20900,52,ZMB,-13.133897,27.849332
Zimbabwe,108347,7604,27553177,1037700,54,ZWE,-19.015438,29.154857
